BH000001|lhhb|A|USED BOX HATCHING EGGS|BH|USED BOX HATCHING EGGS|W|KG|1.0|425.0|01-50220|O||
P0006-CA|OFF|A|PAKU 1",1 1/2",2"|OT1|OTHER|Q|KG|1.0|0.0|01-50101|O|0|
P0006-O|OFF|A|PAKU|OT1|OTHER|Q|BKS|1.0|0.0|01-50101|O|0|
P0006-PA|OFF|A|PAYUNG|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0007|OFF|A|PRESURE GAUGE|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0007-05|OFF|A|PIPA BESI 1/2 INC|OT1|OTHER|Q|BTG|1.0|0.0|01-50101|O|0|
P0007-1|OFF|A|PIPA BESI 1 INC|OT1|OTHER|Q|BTG|1.0|0.0|01-50101|O|0|
P0007-14|OFF|A|PIPA BESI 1 1/4" 2.5MM|OT1|OTHER|Q|BTG|1.0|0.0|01-50101|O|0|
P0007-2|OFF|A|PIPA BESI 2"|OT1|OTHER|Q|BTG|1.0|0.0|01-50101|O|0|
P0007-C|OFF|A|PAKU 2 1/2,2,3  (CAMPUR)|OT1|OTHER|Q|KG|1.0|0.0|01-50101|O|0|
P0007-C2|OFF|A|PAKU 2, 21/2, 3 INC|OT1|OTHER|Q|KTK|1.0|0.0|01-50101|O|0|
P0007-CA|OFF|A|PAKU  2",3"|OT1|OTHER|Q|KG|1.0|0.0|01-50101|O|0|
P0008|OFF|A|FORM PENILAIAN PRESTASI K|OT1|OTHER|Q|BLK|1.0|0.0|01-50101|O|0|
P0009|OFF|A|PITA PRINTER|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0009-D|OFF|A|PITING DUDUK LAMPU|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0009-MT|OFF|A|PITA MESIN TIK|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0009-S|OFF|A|PITING LAMPU SOROT|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0011|OFF|A|PIRINGAN DOC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0012|OFF|A|PELAMPUNG AIR 1 INC ASAHI|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0012-12|OFF|A|PELAMPUNG AIR 1/2 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0012-13|OFF|A|PIPA 1/2 INC / MTR|OT1|OTHER|Q|BTG|1.0|0.0|01-50101|O|0|
P0012-3|OFF|A|PELAMPUNG AIR 3/4|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0013|OFF|A|PIRING PLASTIK @LUSIN|OT1|OTHER|Q|LSN|1.0|0.0|01-50101|O|0|
P0013-29|OFF|A|PINTU 200 X 90 CM|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0013-68|OFF|A|PINTU PVC 68.5 X 19.8|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0013-70|OFF|A|PINTU PANEL 70X200|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0013-80|OFF|A|PINTU PANEL 80X200|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0014|OFF|A|POMPA GRUNPUS|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0014-2|OFF|A|POMPA GRUNFOS JDF-2|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0014-P1|OFF|A|POMPA PANASONIC 125 JBE|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0015|OFF|A|PANCI BESAR|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0016|OFF|A|PEMBERSIH HANDIMARK AM WA|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0016-K|OFF|A|PEMBERSIH KACA PUMP|OT1|OTHER|Q|BTL|1.0|0.0|01-50101|O|0|
P0017|OFF|A|PELAMPUNG OTOMATIS|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0017-01|OFF|A|PELAMPUNG OTOMATIS 1 INC|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0017-34|OFF|A|PELAMPUNG OTOMATIS 3/4 IN|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0018|OFF|A|POMPA SOLO|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0019|OFF|A|POMPA BAN PAKAI TABUNG|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0020|OFF|A|PACKING DEKSEL|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0020-18|OFF|A|PACKING DEKSEL D185|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0020-45|OFF|A|PARKING SET SC 45|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0020-C|OFF|A|PACKING COMPLIT|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
P0020-DE|OFF|A|PACKING DEKSEL|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0020-DF|OFF|A|PACKING DEKSEL DF 1110|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0020-DI|OFF|A|PACKING DEKSETL D185|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0020-K1|OFF|A|PACKING KARET 1 MM|OT1|OTHER|Q|KG|1.0|0.0|01-50101|O|0|
P0020-K2|OFF|A|PACKING KARET 1.5 MM|OT1|OTHER|Q|KG|1.0|0.0|01-50101|O|0|
P0020-K3|OFF|A|PACKING 0.8 MM|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0020-TF|OFF|A|PACKING DEKSEL TF 75|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0020-YL|OFF|A|PACKING SET YL 60|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0021|OFF|A|PISAU CUTTER|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0021-B|OFF|A|PISAU CUTER BESAR|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0021-BC|OFF|A|PISAU POTONG PARUH BC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0021-D|OFF|A|PISAU DAPUR|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0021-K|OFF|A|PISAU KOMANDO|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0021-LI|OFF|A|PISAU LIPAT|OT1|OTHER|Q|KTK|1.0|0.0|01-50101|O|0|
P0021-P|OFF|A|PISAU PANJANG|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0021-PB|OFF|A|PISAU PARANG BABAT|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0022|OFF|A|PENGHAPUS PENSIL|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0022-RB|OFF|A|PENGHAPUS PENSIL RADAR BS|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0022-RS|OFF|A|PENGHAPUS PENSIL RADAR KE|OT1|OTHER|Q|BUAH|1.0|2500.0|01-50101|O|0|
P0023|OFF|A|PAPAN MERANTI|OT1|OTHER|Q|KP|1.0|0.0|01-50101|O|0|
P0023-19|OFF|A|PAPAN 1 X 9|OT1|OTHER|Q|LBR|1.0|0.0|01-50101|O|0|
P0023-1D|OFF|A|PAPAN 1X9*16 DL|OT1|OTHER|Q|BTG|1.0|0.0|01-50101|O|0|
P0023-34|OFF|A|PAPAN MERANTI 3/4 X 9|OT1|OTHER|Q|KP|1.0|0.0|01-50101|O|0|
P0023-38|OFF|A|PAPAN 3/4X8X16|OT1|OTHER|Q|BTG|1.0|0.0|01-50101|O|0|
P0023-CL|OFF|A|PAPAN CLIP|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0024|OFF|A|PELOBANG KERTAS NO 85|OT1|OTHER|Q|BH|1.0|27500.0|01-50101|O|0|
P0024-K|OFF|A|PELOBANG KENKO 40XL|GA2|ATAL, KAPUR,DLL|Q|BH|1.0|0.0|01-50101|O|0|
P0025|OFF|A|PENSIL|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0025-12|OFF|A|PENSIL 2B @ 12 BH|OT1|OTHER|Q|LSN|1.0|0.0|01-50101|O|0|
P0025-2B|OFF|A|PENSIL 2B|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0025-MK|OFF|A|PENSIL MEKANIK|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0026|OFF|A|PENGGARIS 30 CM|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0026-PR|OFF|A|PENGHARUM RUANGAN|OT1|OTHER|Q|BTL|1.0|0.0|01-50101|O|0|
P0027|OFF|A|PAPAN TULIS WB 90X60|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0028|OFF|A|PISPOT GEMUK YL 60|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0029|OFF|A|PANEL|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0029-17|OFF|A|PANEL BOX 20 X 30 X 17|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0029-20|OFF|A|PANEL BOX 20X30X15|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0029-30|OFF|A|PANEL BOX 30X40X17|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0029-34|OFF|A|PANEL BOX30X40X20|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0029-35|OFF|A|PANEL BOX 35X25X15|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0029-40|OFF|A|PANEL BOX 40X50X20|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0029-60|OFF|A|PANEL BOX 40X60X20|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0030|OFF|A|PAPER CLIP NO.3|OT1|OTHER|Q|BOX|1.0|0.0|01-50101|O|0|
P0031|OFF|A|PEMASANGAN LAMPU 2X40 COM|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
P0032|OFF|A|PEWANGI RUANGA STELLA|OT1|OTHER|Q|BTL|1.0|0.0|01-50101|O|0|
P0032-K|OFF|A|PENGHARUM K.M (KARBOL) 90|OT1|OTHER|Q|BTL|1.0|0.0|01-50101|O|0|
P0032-KM|OFF|A|PEWANGI KAMAR MANDI|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0033|OFF|A|PISTON|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0033-32|OFF|A|PISTON ASSY 328|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0033-75|OFF|A|PISTON + RING TF75|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
P0033-CS|OFF|A|PEN PISTON SHARK|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0033-P|OFF|A|PEN PISTON SC 45|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0033-PL|OFF|A|PILOT LAMP 220V|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0033-PR|OFF|A|PISTON+RING BP30|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
P0033-RP|OFF|A|PISTON+RING 1110|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
P0033-S|OFF|A|PISTON+RING+BLOK SK30|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
P0033-S1|OFF|A|PISTON SACOREX 1 ML|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0034|OFF|A|PER KLEP|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
P0034-75|OFF|A|PER KLEP TF 75|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0034-BP|OFF|A|PER ENGKOL BP 30|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0034-C|OFF|A|PER ENGKOL BP30 COMP|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
P0034-FL|OFF|A|PER FLEKSIBLE|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0035|OFF|A|PC INTEL PENTIUM III 800|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0035-4|OFF|A|PC INTEL PENTIUM 4  COMPL|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
P0036|OFF|A|PRINTER EPSON LQ-2180|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0036-C|OFF|A|PRINTER CANON BJC-1000 SP|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0037|OFF|A|PARALEL HITAM|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0038|OFF|A|PIRING MERAH (TUTUP) 2 GL|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0038-1|OFF|A|PIRING MERAH (TUTUP) 1 GA|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0038-1I|OFF|A|PIRING MERAH T MINUM 1 GL|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0038-B|OFF|A|PIRING MERAH 1 GALON BUAN|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0038-I|OFF|A|PIRING MERAH 1 GALON  IND|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0039|OFF|A|PEGAS KATUP TMAO|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0040|OFF|A|PETA SUMATERA|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0040-M|OFF|A|PETA KOTA MEDAN|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0040-SU|OFF|A|PETA SUMUT|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0041|OFF|A|PIPA TANGKAI TMAO|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0042|OFF|A|PLAT BESI 4X3MM|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0042-0|OFF|A|PLAT DUDUKAN|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0042-1|OFF|A|PASIR /MTR|OT1|OTHER|Q|M3|1.0|0.0|01-50101|O|0|
P0042-10|OFF|A|PLAT BESI 10 MM|OT1|OTHER|Q|KP|1.0|0.0|01-50101|O|0|
P0042-12|OFF|A|PLAT BESI 120X240|OT1|OTHER|Q|LBR|1.0|0.0|01-50101|O|0|
P0042-15|OFF|A|PLAT BESI 1.5MM|OT1|OTHER|Q|BTG|1.0|0.0|01-50101|O|0|
P0042-2|OFF|A|PLAT BESI 2 MM|OT1|OTHER|Q|BTG|1.0|0.0|01-50101|O|0|
P0042-20|OFF|A|PLAT BESI 20X20X6MM|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0042-21|OFF|A|PLAT BESI 1.2 MM|OT1|OTHER|Q|KP|1.0|0.0|01-50101|O|0|
P0042-25|OFF|A|PLAT BESI 20X15X6MM|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0042-2L|OFF|A|PLAT SAKLAR 2L NAT|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0042-3|OFF|A|PLAT BESI 3 MM|OT1|OTHER|Q|KP|1.0|0.0|01-50101|O|0|
P0042-30|OFF|A|PLAT BESI 30X30X10MM|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0042-5|OFF|A|PLAT BESI 5 MM|OT1|OTHER|Q|KP|1.0|0.0|01-50101|O|0|
P0042-G|OFF|A|PASIR / GONI|OT1|OTHER|Q|GONI|1.0|0.0|01-50101|O|0|
P0043|OFF|A|PASIR|OT1|OTHER|Q|DT|1.0|0.0|01-50101|O|0|
P0043-G|OFF|A|PASIR  / GONI|OT1|OTHER|Q|GONI|1.0|0.0|01-50101|O|0|
P0043-H|OFF|A|PASIR HITAM|OT1|OTHER|Q|DT|1.0|0.0|01-50101|O|0|
P0043-M|OFF|A|PASIR @M3|OT1|OTHER|Q|M3|1.0|0.0|01-50101|O|0|
P0044|OFF|A|PAGER MOTOROLA SCRIPTOR|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0045|OFF|A|POLLY A1X5 INC|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0045-14|OFF|A|POLLY  1"X4"*28|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0045-25|OFF|A|POLLY DINAMO A2X2.5 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0045-A2|OFF|A|POLLY A2 X 4"|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0045-A3|OFF|A|POLLY A2 X 2 1/2 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0045-S|OFF|A|POLLY SPRAYER|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0045-SC|OFF|A|POLLY SC45|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0045-SH|OFF|A|POLLY COMPRESOR SHARK 2HP|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0045-VA|OFF|A|VALVE ASSY SC 45|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0045-VP|OFF|A|V PACKING SC 45|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0045-YL|OFF|A|POLLY  YL 60|OT1|OTHER|Q|BG|1.0|0.0|01-50101|O|0|
P0046|OFF|A|POMPA GRUNPUS JDF 5|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0046-13|OFF|A|POMPA GRUNFOS 13-18|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0046-14|OFF|A|POMPA GRUNFOS K14 3P|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0046-25|OFF|A|PAKU @ 25 KG|OT1|OTHER|Q|KTK|1.0|0.0|01-50101|O|0|
P0046-30|OFF|A|POMPA GRUNFOS NF 30-18 M|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0046-36|OFF|A|POMPA GRUNFOS NF30-36T|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0046-KS|OFF|A|POMPA KEONG SIRKULASI|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0046-P5|OFF|A|POMPA GRUNFOS JPF5|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0046-R|OFF|A|POMPA ROBIN|OT1|OTHER|Q|BUAH|1.0|0.0|01-50101|O|0|
P0047|OFF|A|POTASIUM PK @ 50 KG|OT1|OTHER|Q|DRM|1.0|0.0|01-50101|O|0|
P0047-P|OFF|A|PESAWAT TLP PANASONIC VB9|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0047-PA|OFF|A|PESAWAT TELEPON PANAPHONE|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0048|OFF|A|PIRING PLASTIK|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0049|OFF|A|P3K|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
P0049-E3|OFF|A|POMPA ESPA 3P MULTI30/5|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0050|OFF|A|PLINKUTE|OT1|OTHER|Q|KLG|1.0|0.0|01-50101|O|0|
P0051|OFF|A|PELLET T. GASOLEK|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0051-P|OFF|A|PELLET TEMPAT PAKAN|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0052|OFF|A|PIRING TEMPAT PAKAN 10 KG|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0052-PP|OFF|A|STEMPEL BEBAS PPN|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P-005-3|OFF|A|PIPA PVC 3 INC|OT1|OTHER|Q|BTG|1.0|0.0|01-50101|O|0|
P0053-B|OFF|A|PLASTIK BIRU L 1.2M|OT1|OTHER|Q|KG|1.0|0.0|01-50101|O|0|
P0053-B1|OFF|A|PLASTIK BIRU L 1.2 M / BA|OT1|OTHER|Q|BAL|1.0|0.0|01-50101|O|0|
P0053-KG|OFF|A|POTASIUM PK  @ 1 KG|OT1|OTHER|Q|KG|1.0|0.0|01-50101|O|0|
P-005-4|OFF|A|PIPA PVC 4 INC|OT1|OTHER|Q|BTG|1.0|0.0|01-50101|O|0|
P-005-5"|OFF|A|PIPA PVC 5 "|OT1|OTHER|Q|BTG|1.0|0.0|01-50101|O|0|
P0057-12|OFF|A|POMPA DAB 125|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0057-14|OFF|A|POMPA DAB K14 3P|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0057-5|OFF|A|POMPA DAB 505|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0058|OFF|A|POMPA AQUA 401M|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0059|OFF|A|PITTING LAMPU PIJAR|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0059-TL|OFF|A|PITTING LAMPU TL BULAT|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0060|OFF|A|POWER SHOES|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0060-15|OFF|A|PLASTIK ISI 1.5 KG|OT1|OTHER|Q|BKS|1.0|0.0|01-50101|O|0|
P0060-B|OFF|A|PLASTIK KANTONGAN HITAM B|OT1|OTHER|Q|BKS|1.0|0.0|01-50101|O|0|
P0060-K|OFF|A|PLASTIK KAP 1.5KG KABUR|OT1|OTHER|Q|BKS|1.0|0.0|01-50101|O|0|
P0060-S|OFF|A|PLASTIK KANTONGAN SDG|OT1|OTHER|Q|BKS|1.0|0.0|01-50101|O|0|
P0061|OFF|A|PUMP AIR PS 100|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0061-S|OFF|A|PAGER SECOND SCRIPTOR|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0062-3|OFF|A|PLAT STRIP 3 MM|OT1|OTHER|Q|BTG|1.0|0.0|01-50101|O|0|
P0062-50|OFF|A|PLAT STRIP 5X32X3.5M|OT1|OTHER|Q|BTG|1.0|0.0|01-50101|O|0|
P0062-55|OFF|A|PLAT STRIP 5.5X50X6M|OT1|OTHER|Q|BTG|1.0|0.0|01-50101|O|0|
P0062-S2|OFF|A|POMPA SIRKULASI 2" MODEL|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0063|OFF|A|POLY ALUMINIUM|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0063-A|OFF|A|PARCEL TYPE A|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
P0063-B|OFF|A|PARCEL TYPE B|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
P0063-C|OFF|A|PARCEL TYPE C|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
P0063-D|OFF|A|PARCEL TYPE D|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
P0064-1I|OFF|A|PIRING T. MINUM 1G IND.|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0064-1L|OFF|A|PIRING T. MINUM 1 G LOKAL|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0064-SP|OFF|A|POMPA SUBMERSIBLE GRUN. S|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0065|OFF|A|PAHAT BETON|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0066|OFF|A|PLAT TEMPAHAN 9MM|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0066-B3|OFF|A|POLLY DINAMO B2  3 1/2 IN|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0066-B5|OFF|A|POLLY B2 5 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0066-D|OFF|A|POLI DINAMO 10HP|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0067|OFF|A|PLASTIK HITAM|OT1|OTHER|Q|KG|1.0|0.0|01-50101|O|0|
P0067-HB|OFF|A|PLASTIK HITAM 1.2M @ 30 K|OT1|OTHER|Q|BAL|1.0|0.0|01-50101|O|0|
P0067-P|OFF|A|PLASTIK PUTIH 1.2M|OT1|OTHER|Q|KG|1.0|0.0|01-50101|O|0|
P0067-P1|OFF|A|PLASTIK PUTIH 1.2M@30 KG|OT1|OTHER|Q|BAL|1.0|0.0|01-50101|O|0|
P0068|OFF|A|PLAT TBL12 9MM|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0068-AL|OFF|A|PLAT ALUMINIUM 6 M|OT1|OTHER|Q|BTG|1.0|0.0|01-50101|O|0|
P0068-T|OFF|A|PLAT ALUMINIUM 1.2X2M|OT1|OTHER|Q|KP|1.0|0.0|01-50101|O|0|
P0069|OFF|A|PVC FOOT VALVE 1 1/4|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0070|OFF|A|POMPA DAB 401 AQUA 220V|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0070-14|OFF|A|POMPA DAB K14/400T 3P|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0071|OFF|A|PLINKUTE UPC 16|OT1|OTHER|Q|KLG|1.0|0.0|01-50101|O|0|
P0072|OFF|A|PERMICA PUTIH 1.2 X 2.4|OT1|OTHER|Q|KP|1.0|0.0|01-50101|O|0|
P0073|OFF|A|PLUIT + TALI BAHU|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
P0074|OFF|A|PIRING NEST|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0075|OFF|A|PLASTIK NET MALAYSIA|OT1|OTHER|Q|ROL|1.0|0.0|01-50101|O|0|
P0076|OFF|A|PUSH BUTTON ON-OF|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0076-1|OFF|A|POMPA AIR 1 INC SANWA|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0077|OFF|A|PITA MESIN ABSENSI AMANO|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0077-10|OFF|A|PAHAT BESI 10 INC|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0078-5|OFF|A|PLAT STRIP 5X25|OT1|OTHER|Q|BTG|1.0|0.0|01-50101|O|0|
P0078-N|OFF|A|POMPA NATIONAL 220V|OT1|OTHER|Q|UNIT|1.0|0.0|01-50101|O|0|
P0079|OFF|A|PACKING COMPLIT 1110|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
P0079-OS|OFF|A|PACKINF OIL SC45|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
P0079-S|OFF|A|PACKING SET SC 45|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
P0079-SC|OFF|A|PACKING COMPLIT SC 45|OT1|OTHER|Q|SET|1.0|0.0|01-50101|O|0|
P0080|OFF|A|PLUNGER|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
P0081|OFF|A|PLAT SIKU RAK|OT1|OTHER|Q|BH|1.0|0.0|01-50101|O|0|
